Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
6,0,0,0,0
12,0,0,0,0
18,1,0,0,0
24,1,0,0,0
30,1,0,0,0
36,1,0,0,0
42,1,0,0,0
48,1,0,0,0
54,2,0,0,0
60,2,0,0,0
66,2,0,0,0
72,2,0,0,0
78,2,0,0,0
84,2,0,0,0
90,2,0,0,0
96,2,0,0,0
102,2,0,0,0
108,2,0,0,0
114,2,0,0,0
120,2,0,0,0
126,2,0,0,0
132,2,0,0,0
138,2,0,0,0
144,2,0,0,0
150,2,0,0,0
156,2,0,0,0
162,2,0,0,0
168,2,0,0,0
174,2,0,0,0
180,2,0,0,0
186,2,0,0,0
192,2,0,0,0
198,2,0,0,0
204,2,0,0,0
210,2,0,0,0
216,2,0,0,0
222,2,0,0,0
228,2,0,0,0
234,2,0,0,0
240,2,0,0,0
246,2,0,0,0
252,2,0,0,0
258,2,0,0,0
264,2,0,0,0
270,2,0,0,0
276,2,0,0,0
282,2,0,0,0
288,2,0,0,0
294,2,0,0,0
300,0,0,0,0
306,2,0,0,0
312,2,0,0,0
318,2,0,0,0
324,2,0,0,0
330,2,0,0,0
336,2,0,0,0
342,2,0,0,0
348,2,0,0,0
354,2,0,0,0
360,2,0,0,0
366,2,0,0,0
372,2,0,0,0
378,1,0,0,0
384,1,0,0,0
390,1,0,0,0
396,1,0,0,0
402,1,0,0,0
408,1,0,0,0
414,1,0,0,0
420,1,0,0,0
426,1,0,0,0
432,1,0,0,0
438,1,0,0,0
444,1,0,0,0
450,1,0,0,0
456,1,0,0,0
462,1,0,0,0
468,1,0,0,0
474,1,0,0,0
480,1,0,0,0
486,1,0,0,0
492,1,0,0,0
498,0,0,0,0
